"company_name","category","website","source_url","city","state","region","contact_name_if_public","contact_role_if_public","email_if_public","phone_if_public","contact_page","why_fit","likely_season","likely_housing","confidence_score","outreach_priority","verification_status","notes","last_checked_at"
"Blackberry Farm","farms","https://www.blackberryfarm.com","https://www.blackberryfarm.com/media","Walland","TN","Southern Appalachians","","","marketing@blackberryfarm.com","865-984-8166","https://www.blackberryfarm.com/media","Large farm resort blends luxury lodging, culinary production, outdoor recreation, equestrian, events, grounds, and guest services.","Year-round with spring, fall, and holiday peaks","Unknown — confirm with host","77","medium","official_site_verified","Likely season is an inference from the year-round farm-resort model; marketing email and front-desk phone are public on the official page.","2026-07-12"
"C Lazy U Ranch","ranches","https://www.clazyu.com/","https://www.clazyu.com/contact-us/","Granby","CO","Mountain West","","","","970-887-3344","https://www.clazyu.com/contact-us/","Large all-inclusive ranch operation spans cabins, food service, horses, recreation, events, and guest transport.","Year-round with summer and winter peaks","Unknown — confirm with host","74","medium","official_site_verified","Likely season is inferred from official summer hours and year-round ranch programming; confirm hiring window with host.","2026-07-12"
"Camp Chewonki","camps","https://camp.chewonki.org","https://camp.chewonki.org/staff/contact-us/","Wiscasset","ME","New England","","","camp@chewonki.org","207-656-1170","https://camp.chewonki.org/staff/contact-us/","Residential summer camp combines outdoor programs, farm systems, waterfront activity, food service, and facilities work.","Summer","Unknown — confirm with host","81","medium","official_site_verified","Likely season is an inference from the official page's summer-season contact structure; current staffing needs must be confirmed.","2026-07-12"
"Chincoteague Bay RV Resort & Cottages","campgrounds","https://chincoteaguebayrvresort.com","https://chincoteaguebayrvresort.com/about/","Chincoteague","VA","Mid-Atlantic","","","","757-336-6060","https://chincoteaguebayrvresort.com/about/","Waterfront RV resort and cottages operation needs guest services, grounds, housekeeping, maintenance, and recreation support in a seasonal market.","Spring through early fall","Unknown — confirm with host","65","medium","official_site_verified","Likely season is an inference from Chincoteague's coastal camping cycle; official page verifies resort location and phone.","2026-07-12"
"Georgia Mountain Fairgrounds","campgrounds","https://georgiamountainfairgrounds.com","https://georgiamountainfairgrounds.com/","Hiawassee","GA","Southern Appalachians","","","","706-896-4191","https://georgiamountainfairgrounds.com/pageserver/help","Fairgrounds with a large campground, concerts, fairs, festivals, gardens, and facilities can need seasonal event and site operations support.","Spring through fall, with event peaks","Unknown — confirm with host","70","medium","official_site_verified","Likely season is an inference from the official event calendar and campground model; confirm whether paid host roles are available.","2026-07-12"
"Holo Holo Charters","outdoor tourism operators","https://www.holoholokauaiboattours.com/","https://www.holoholokauaiboattours.com/m/contact-us/","Eleele","HI","Kauai","","","reservations@holoholocharters.com","808-335-0815","https://www.holoholokauaiboattours.com/m/contact-us/","Marine-tour operator offers experience in reservations, vessel turnaround, guest safety, interpretation, and tour logistics.","Year-round with seasonal marine demand","Unknown — confirm with host","69","medium","official_site_verified","Season inferred from daily marine-tour operations and island demand patterns; confirm exact host timing.","2026-07-12"
"Idaho Rocky Mountain Ranch","ranches","https://idahorocky.com/","https://idahorocky.com/contact/","Stanley","ID","Sawtooth Valley","","","info@idahorocky.com","208-725-3000","https://idahorocky.com/contact/","Remote historic ranch offers lodging, dining, horseback and outdoor activities, grounds, and high-touch guest service.","Summer peak","Unknown — confirm with host","69","medium","official_site_verified","Season inferred from alpine guest-ranch operations; confirm exact host timing.","2026-07-12"
"Kona Village, A Rosewood Resort","lodges","https://www.rosewoodhotels.com/en/kona-village","https://www.rosewoodhotels.com/en/kona-village/contact","Kailua-Kona","HI","Kona Coast, Hawaii Island","","","konavillage.concierge@rosewoodhotels.com","808-865-0100","https://www.rosewoodhotels.com/en/kona-village/contact","Remote-style coastal resort supports lodging, food and beverage, cultural and ocean activities, wellness, grounds, and guest service.","Year-round tourism","Unknown — confirm with host","69","medium","official_site_verified","Season inferred from Hawaii's year-round resort market; confirm exact host timing and outreach route.","2026-07-12"
"Paws Up Montana","ranches","https://www.pawsup.com/","https://www.pawsup.com/contact-us/","Greenough","MT","Northern Rockies","","","info@pawsup.com","800-210-6445","https://www.pawsup.com/contact-us/","Large remote ranch resort combines lodging, dining, activities, events, and outdoor guiding in one operation.","Year-round; summer glamping peak","Unknown — confirm with host","81","medium","official_site_verified","Likely season is inferred from published year-round activities and seasonal glamping; confirm hiring window with host.","2026-07-12"
"River Dance Lodge","outdoor tourism operators","https://www.riverdancelodge.com/","https://www.riverdancelodge.com/about-resort","Kooskia","ID","Clearwater region","","","info@riverdancelodge.com","208-770-2517","https://www.riverdancelodge.com/about-resort","Adventure lodge and rafting operator combine cabins, food, guest services, guiding, and remote-trip coordination.","May–September peak","Unknown — confirm with host","69","medium","official_site_verified","Season inferred from the official page's May-to-September lodge contact note and river-adventure model; confirm exact placement dates.","2026-07-12"
"Tamarack Resort","seasonal resorts","https://tamarackidaho.com/","https://tamarackidaho.com/about/contact-us","Tamarack","ID","West Central Idaho","","","info@tamarackidaho.com","208-325-1000","https://tamarackidaho.com/about/contact-us","Four-season resort combines mountain operations, lodging, rentals, sports school, retail, patrol, and outdoor activities.","Winter and summer peaks","Unknown — confirm with host","69","medium","official_site_verified","Season inferred from mountain-resort operations; confirm exact host timing.","2026-07-12"
"Tanque Verde Ranch","ranches","https://www.tanqueverderanch.com/","https://www.tanqueverderanch.com/contact","Tucson","AZ","Southwest","","","tvgr@cotefamily.com","520-296-6275","https://www.tanqueverderanch.com/contact","Large desert ranch resort combines lodging, dining, equine programs, spa, events, and outdoor activities.","Year-round; cooler-month peak","Unknown — confirm with host","69","medium","official_site_verified","Likely season is inferred from desert climate and published ranch operations; confirm hiring window with host.","2026-07-12"
"The Retreat at Silvies Valley Ranch","ranches","https://silviesvalleyranch.com/","https://silviesvalleyranch.com/silviesus/about.php","Seneca","OR","Eastern Oregon","","","info@silvies.us","541-573-5150","https://silviesvalleyranch.com/silviesus/about.php","Remote working ranch and resort combine livestock, lodging, food, recreation, golf, grounds, and guest-service operations.","Year-round with summer peak","Unknown — confirm with host","69","medium","official_site_verified","Season inferred from ranch, resort, and outdoor-recreation operations; confirm exact host timing.","2026-07-12"
"Theodore Roosevelt Medora Foundation / Medora","outdoor tourism operators","https://medora.com/","https://medora.com/contact-us/","Medora","ND","Northern Plains","","","","701-623-4444","https://medora.com/contact-us/","Destination nonprofit operates lodging, dining, live entertainment, attractions, golf, retail, and visitor services in a seasonal tourism town.","Late spring through summer peak","Unknown — confirm with host","67","medium","official_site_verified","Likely season is inferred from Medora's published visitor and entertainment operations; confirm employment dates and housing with the foundation.","2026-07-12"
"Woodloch Pines Resort","seasonal resorts","https://www.woodloch.com","https://www.woodloch.com/contact-us/","Hawley","PA","Mid-Atlantic","","","","570-685-8000","https://www.woodloch.com/contact-us/","All-inclusive resort has lodging, dining, recreation, events, golf, spa, housekeeping, and facilities operations at meaningful scale.","Year-round with summer and holiday peaks","Unknown — confirm with host","62","medium","official_site_verified","Likely season is an inference from the year-round resort model; official page lists Human Resources by phone menu but no general HR email.","2026-07-12"
"Zion Ponderosa Ranch Resort","ranches","https://www.zionponderosa.com/","https://www.zionponderosa.com/about/contact/","Orderville","UT","Mountain West","","","","435-648-2700","https://www.zionponderosa.com/about/contact/","Remote multi-lodging ranch resort near Zion also operates activities, food service, events, and property services.","Spring through fall peak","Unknown — confirm with host","62","medium","official_site_verified","Likely season is inferred from official lodging and outdoor-adventure operations; confirm hiring window with host.","2026-07-12"
"Alderbrook Resort & Spa","lodges","https://www.alderbrookresort.com/","https://www.alderbrookresort.com/contact-and-location","Union","WA","Hood Canal","","","reservations@alderbrookresort.com","360-898-2200","https://www.alderbrookresort.com/contact-and-location","Waterfront resort combines hotel, restaurant, spa, events, grounds, and marine-adjacent guest operations.","Year-round with summer peak","Unknown — confirm with host","69","medium","official_site_verified","Season inferred from coastal resort demand patterns; confirm exact host timing.","2026-07-12"
"Brasada Ranch","ranches","https://www.brasada.com/","https://www.brasada.com/contact-us","Powell Butte","OR","Central Oregon High Desert","","","experience@brasada.com","866-373-4882","https://www.brasada.com/contact-us","Destination ranch integrates lodging, dining, equestrian activities, golf, spa, events, grounds, and guest experiences.","Year-round with summer peak","Unknown — confirm with host","69","medium","official_site_verified","Season inferred from destination-ranch demand and outdoor activities; confirm exact host timing.","2026-07-12"
"Camp Saginaw","camps","https://www.campsaginaw.com","https://www.campsaginaw.com/contact-us","Oxford","PA","Mid-Atlantic","","","","888-477-2267","https://www.campsaginaw.com/contact-us","Residential summer camp can support counselor, activity, waterfront, food-service, housekeeping, and property roles.","Summer","Unknown — confirm with host","74","medium","official_site_verified","Likely season is an inference from the official summer-camp identity; employment availability and conditions require direct confirmation.","2026-07-12"
"Copper River Seafoods","fisheries","https://www.copperriverseafoods.com/","https://www.copperriverseafoods.com/contact-us/","Anchorage","AK","Statewide Alaska operations","","","","907-522-7806","https://www.copperriverseafoods.com/contact-us/","Multiple Alaska plants and logistics locations create exposure to processing, quality, cold storage, and distribution work.","Summer salmon-harvest peak","Unknown — confirm with host","67","medium","official_site_verified","Season inferred from Alaska salmon harvest cycles; confirm exact plant, dates, and host capacity. Official page lists Anchorage, Cordova, Naknek, Togiak, and Kotzebue locations.","2026-07-12"
"Hawaii Forest & Trail","outdoor tourism operators","https://hawaii-forest.com/","https://hawaii-forest.com/locations/hawaii-forest-trail-kailua-kona/","Kailua-Kona","HI","Hawaii Island","","","","808-331-8505","https://hawaii-forest.com/locations/hawaii-forest-trail-kailua-kona/","Nature-tour company can provide structured exposure to guiding, interpretation, trip preparation, vehicle logistics, and guest service.","Year-round tourism","Unknown — confirm with host","62","medium","official_site_verified","Season inferred from Hawaii's year-round tour market; confirm exact host timing and operational department.","2026-07-12"
"High Country Guest Ranch","ranches","https://highcountryranch.com/","https://highcountryranch.com/contact-us/","Hill City","SD","Northern Plains","","","","605-574-9003","https://highcountryranch.com/contact-us/","Black Hills guest ranch combines cabins, camping, trail rides, events, rentals, animal care, and property services.","May through September peak","Unknown — confirm with host","79","medium","official_site_verified","Likely season is inferred from the affiliated official trail-riding site's May-September schedule; confirm all employment details with the ranch.","2026-07-12"
"Red Cliffs Lodge","lodges","https://www.redcliffslodge.com/","https://www.redcliffslodge.com/moab/contact/","Moab","UT","Mountain West","","","","435-259-2002","https://www.redcliffslodge.com/moab/contact/","Remote Colorado River lodge combines rooms, cabins, food service, activities, events, grounds, and guest transport.","Spring through fall peak","Unknown — confirm with host","62","medium","official_site_verified","Likely season is inferred from Moab tourism patterns and published lodge activities; confirm hiring window with host.","2026-07-12"
"Sorrel River Ranch Resort & Spa","ranches","https://www.sorrelriver.com/","https://www.sorrelriver.com/the-resort/","Moab","UT","Mountain West","","","stay@sorrelriver.com","435-259-4642","https://www.sorrelriver.com/the-resort/","Working-ranch resort supports lodging, dining, spa, stables, garden, events, and guided desert experiences.","Spring through fall peak","Unknown — confirm with host","81","medium","official_site_verified","Likely season is inferred from Moab climate and official resort activities; confirm hiring window with host.","2026-07-12"
"Vermejo, a Ted Turner Reserve","ranches","https://vermejo.tedturnerreserves.com/","https://tedturnerreserves.com/contact-us","Raton","NM","Southwest","","Reserve Ambassadors","","877-288-7637","https://tedturnerreserves.com/contact-us","Extremely remote conservation ranch operates lodges, culinary service, guided wildlife and fishing experiences, and property logistics.","Spring through fall peak with select winter events","Unknown — confirm with host","75","medium","official_site_verified","Likely season is inferred from official event and fishing-camp dates; confirm employment window and housing with host.","2026-07-12"
"Vista Verde Ranch","ranches","https://www.vistaverde.com/","https://www.vistaverde.com/contact-us/","Clark","CO","Mountain West","","Ranch Host","","970-879-3858","https://www.vistaverde.com/contact-us/","Remote all-inclusive ranch requires lodging, culinary, equine, outdoor-guide, and guest-experience staffing.","Summer and winter guest seasons","Unknown — confirm with host","63","medium","official_site_verified","Likely season is inferred from official ranch vacation programs; confirm exact operating and hiring dates with host.","2026-07-12"
"Western Pleasure Guest Ranch","ranches","https://westernpleasureranch.com/","https://westernpleasureranch.com/contact-us/","Sandpoint","ID","North Idaho","","","","208-263-9066","https://westernpleasureranch.com/contact-us/","Family guest ranch integrates lodging, meals, horse care, trail rides, camps, events, and winter recreation.","Year-round with summer and winter peaks","Unknown — confirm with host","62","medium","official_site_verified","Season inferred from official year-round ranch offerings; confirm exact host timing. Email was not copied because the searchable page masked it.","2026-07-12"
"Great Alaska Adventures","lodges","https://www.greatalaska.com/","https://www.greatalaska.com/contact","Sterling","AK","Kenai Peninsula","","","info@alaskanfishing.com","866-411-2327","https://www.greatalaska.com/contact","Fishing-lodge and adventure operations combine lodging, meals, guiding, fish handling, and rural guest logistics.","Late spring–early fall peak","Unknown — confirm with host","69","medium","official_site_verified","Season inferred from fishing-lodge operations; confirm exact host timing. The official page also displays a second general telephone number.","2026-07-12"
"Kahumana Organic Farms","farms","https://www.kahumana.org/","https://shop.kahumana.org/p-4-contact-us.html","Waianae","HI","Leeward Oahu","","","support@kahumana.org","808-380-2282","https://shop.kahumana.org/p-4-contact-us.html","Organic farm, food hub, market, and community programs offer agriculture, packing, distribution, food-service, and visitor-learning exposure.","Year-round agriculture","Unknown — confirm with host","72","medium","official_site_verified","Season inferred from tropical farming and ongoing CSA and market operations; confirm exact host timing.","2026-07-12"
"Lone Mountain Ranch","ranches","https://lonemountainranch.com/","https://lonemountainranch.com/horses-at-lone-mountain-ranch/","Big Sky","MT","Northern Rockies","","Reservations","Reservations@LoneMountainRanch.com","406-995-4644","https://lonemountainranch.com/horses-at-lone-mountain-ranch/","Guest ranch blends lodging, food service, horses, guided recreation, and winter Nordic operations.","Summer ranch and winter Nordic seasons","Unknown — confirm with host","82","medium","official_site_verified","Likely season is inferred from official summer riding and year-round resort programming; confirm hiring window with host.","2026-07-12"
"Madden's on Gull Lake","seasonal resorts","https://www.maddens.com/","https://www.maddens.com/map-directions/","Brainerd","MN","Upper Midwest","","","","218-829-2811","https://www.maddens.com/map-directions/","Large seasonal lake resort operates lodging, multiple restaurants, golf, marina recreation, events, and grounds.","Late spring through early fall","Unknown — confirm with host","74","medium","official_site_verified","Likely season is inferred from official seasonal recreation and resort programming; confirm hiring window with host.","2026-07-12"
"Migis Lodge on Sebago Lake","seasonal resorts","https://www.migis.com","https://www.migis.com/reservations/reservation-information-rates-policies/","South Casco","ME","New England","","","migis@migis.com","207-655-4524","https://www.migis.com/reservations/reservation-information-rates-policies/","Lakefront lodge with cottages, dining, recreation, and guest-service operations that can support varied host roles.","Late spring through early fall","Unknown — confirm with host","69","medium","official_site_verified","Likely season is an inference from the property's seasonal resort model; employment and dates must be confirmed directly.","2026-07-12"
"Mt. Hood Meadows","seasonal resorts","https://www.skihood.com/","https://www.skihood.com/explore/contact-us","Mount Hood","OR","Mount Hood","","","","503-337-2222","https://www.skihood.com/explore/contact-us","Ski and summer resort has guest services, rentals, lessons, patrol, retail, maintenance, transport, and recreation functions.","Winter peak with summer activities","Unknown — confirm with host","62","medium","official_site_verified","Season inferred from ski and summer-resort operations; confirm exact host timing and available departments.","2026-07-12"
"Purity Spring Resort","seasonal resorts","https://www.purityspring.com","https://www.purityspring.com/location/","Madison","NH","New England","","","info@purityspring.com","603-367-8896","https://www.purityspring.com/location/","Lake-and-mountain resort spans lodging, recreation, dining, and seasonal guest services across summer and winter peaks.","Summer and winter peak seasons","Unknown — confirm with host","81","medium","official_site_verified","Likely season is an inference from official summer and winter resort materials; confirm hiring windows directly.","2026-07-12"
"Semiahmoo Resort","lodges","https://semiahmoo.com/","https://semiahmoo.com/contact-us/","Blaine","WA","North Puget Sound","","","guestservices@semiahmoo.com","360-318-2000","https://semiahmoo.com/contact-us/","Large coastal resort has lodging, dining, golf, spa, recreation, events, and guest-service departments suitable for rotations.","Year-round with summer peak","Unknown — confirm with host","69","medium","official_site_verified","Season inferred from coastal resort demand patterns; confirm exact host timing. General guest-services email is displayed at https://semiahmoo.com/meetings-events/rfp-group/.","2026-07-12"
"Sun Mountain Lodge","lodges","https://sunmountainlodge.com/","https://sunmountainlodge.com/contact/","Winthrop","WA","Methow Valley","","","","509-996-2211","https://sunmountainlodge.com/contact/","Mountain lodge blends lodging, dining, outdoor activities, stables, lake recreation, and year-round guest operations.","Year-round with winter and summer peaks","Unknown — confirm with host","62","medium","official_site_verified","Season inferred from the lodge's year-round mountain and recreation model; confirm exact host need.","2026-07-12"
"Alaska Glacier Seafoods","fisheries","https://www.alaskaglacierseafoods.com/","https://www.alaskaglacierseafoods.com/contact-us/","Juneau","AK","Southeast Alaska","","","info@alaskaglacierseafoods.com","907-790-3590","https://www.alaskaglacierseafoods.com/contact-us/","Seafood processing and cold-chain work can support structured seasonal work-learning placements across production and logistics.","Summer seafood-harvest peak","Unknown — confirm with host","74","medium","official_site_verified","Season inferred from Alaska seafood harvest cycles; confirm exact host staffing period.","2026-07-12"
"Brasstown Valley Resort & Spa","seasonal resorts","https://brasstownvalley.com","https://brasstownvalley.com/venue/main-lobby/","Young Harris","GA","Southern Appalachians","","","","706-379-9900","https://brasstownvalley.com/sales-team/","Mountain resort with rooms, cottages, dining, spa, golf, stables, events, and grounds offers varied hospitality operations.","Year-round with summer, foliage, and holiday peaks","Unknown — confirm with host","67","medium","official_site_verified","Likely season is an inference from the multi-season resort model; official site verifies address and main phone.","2026-07-12"
"Camp Perkins","camps","https://www.campperkins.org/","https://www.campperkins.org/contact.html","Stanley","ID","Sawtooth Valley","","","","208-788-0897","https://www.campperkins.org/contact.html","Remote residential camp can support youth programs, waterfront and outdoor activities, food service, facilities, and logistics.","Summer camp peak","Unknown — confirm with host","74","medium","official_site_verified","Season inferred from the official page's summer-site address and residential camp model; confirm exact program dates. Email was not copied because the page masked it in search output.","2026-07-12"
"Coon's Franklin Lodge","seasonal resorts","https://coonsfranklinlodge.com/","https://coonsfranklinlodge.com/contact/","Arbor Vitae","WI","Upper Midwest","","","","715-385-2700","https://coonsfranklinlodge.com/contact/","Remote Northwoods family lodge concentrates lodging, meals, waterfront recreation, youth activities, and grounds work.","Summer","Unknown — confirm with host","62","medium","official_site_verified","Likely season is inferred from the lodge's traditional summer family-resort model; confirm current operating and hiring dates.","2026-07-12"
"Lakedale","camps","https://www.lakedale.com/","https://www.lakedale.com/lakedale-faq/","Friday Harbor","WA","San Juan Islands","","","","800-617-2267","https://www.lakedale.com/lakedale-faq/","Island property spans lodge rooms, cabins, yurts, camping, RV sites, and outdoor activities across several service modes.","April–October outdoor-lodging peak","Unknown — confirm with host","74","medium","official_site_verified","OFFICIAL_TIMING_EVIDENCE. Season is based on the official FAQ stating the glamp-ground operates April through October; other lodging is year-round.","2026-07-12"
"von Trapp Family Lodge & Resort","seasonal resorts","https://www.vontrappresort.com","https://www.vontrappresort.com/contact-us.htm","Stowe","VT","New England","","","","800-826-7000","https://www.vontrappresort.com/contact-us.htm","Large mountain lodge with lodging, food and beverage, trails, tours, and property operations suited to experiential work.","Summer, foliage, and winter peaks","Unknown — confirm with host","62","medium","official_site_verified","Likely season is an inference from Stowe's multi-season resort demand; no employee-housing statement was found on the cited page.","2026-07-12"
"WildSpring Guest Habitat","lodges","https://www.wildspring.com/","https://www.wildspring.com/contact.htm","Port Orford","OR","Southern Oregon Coast","","","stay@wildspring.com","541-332-0977","https://www.wildspring.com/contact.htm","Small eco-lodge offers hands-on exposure to lodging, grounds, guest care, sustainability, and rural coastal operations.","Year-round","Unknown — confirm with host","81","medium","official_site_verified","OFFICIAL_TIMING_EVIDENCE. Season is supported by the official contact page stating the property is open seven days a week throughout the year; confirm host needs.","2026-07-12"
"Triangle X Ranch","ranches","https://trianglex.com/","https://trianglex.com/press/","Moose","WY","Northern Rockies","","","","307-733-2183","https://trianglex.com/press/","Remote Grand Teton guest ranch combines lodging, horses, pack trips, float trips, food service, and winter stays.","Summer peak with limited winter operations","Unknown — confirm with host","62","medium","official_site_verified","Likely season is inferred from official ranch programs; public WYOGA membership page corroborates identity and contact: https://wyoga.org/wyoga-outfitter-members/listing/triangle-x-ranch/.","2026-07-12"
